id_venda;operador;valor_total;forma_pagamento;data_venda
5542;Caixa Simulador;3,00;PIX;05/06/2026 08:47
8146;Caixa Simulador;104,00;PIX;05/06/2026 08:45
36037;Caixa Simulador;78,00;PIX;05/06/2026 08:13
22965;Caixa Simulador;84,00;CRÉDITO;05/06/2026 08:09
33058;Caixa Simulador;110,00;DÉBITO;05/06/2026 08:07
2763;Caixa Simulador;102,00;DINHEIRO;05/06/2026 07:54
471;Caixa Simulador;50,50;DINHEIRO;05/06/2026 07:53
24679;Caixa Simulador;9,00;PIX;05/06/2026 07:43
2933;Caixa Simulador;56,00;PIX;05/06/2026 07:35
27876;Caixa Simulador;127,00;DÉBITO;05/06/2026 07:09
27795;Caixa Simulador;31,50;CRÉDITO;05/06/2026 06:22
25586;Caixa Simulador;108,00;CRÉDITO;05/06/2026 06:11
24044;Caixa Simulador;0,50;CRÉDITO;05/06/2026 06:05
36758;Caixa Simulador;26,00;CRÉDITO;05/06/2026 03:35
39510;Caixa Simulador;18,50;PIX;05/06/2026 02:34
20435;Caixa Simulador;26,00;DINHEIRO;05/06/2026 02:32
23271;Caixa Simulador;46,50;CRÉDITO;05/06/2026 01:58
25181;Caixa Simulador;34,00;DINHEIRO;05/06/2026 01:45
26561;Caixa Simulador;41,50;DÉBITO;05/06/2026 01:41
38192;Caixa Simulador;56,00;CRÉDITO;05/06/2026 00:21
26297;Caixa Simulador;45,00;CRÉDITO;04/06/2026 21:50
18002;Caixa Simulador;0,50;DINHEIRO;04/06/2026 19:52
23941;Caixa Simulador;28,00;DÉBITO;04/06/2026 18:58
30227;Caixa Simulador;56,00;DINHEIRO;04/06/2026 18:57
19894;Caixa Simulador;25,00;PIX;04/06/2026 18:29
23707;Caixa Simulador;55,50;DINHEIRO;04/06/2026 18:29
13107;Caixa Simulador;46,00;DINHEIRO;04/06/2026 18:15
24130;Caixa Simulador;56,50;CRÉDITO;04/06/2026 18:13
11153;Caixa Simulador;107,00;DÉBITO;04/06/2026 17:40
38191;Caixa Simulador;76,00;CRÉDITO;04/06/2026 17:35
14629;Caixa Simulador;12,00;PIX;04/06/2026 17:21
11090;Caixa Simulador;12,00;CRÉDITO;04/06/2026 17:01
36168;Caixa Simulador;12,00;DÉBITO;04/06/2026 16:47
21555;Caixa Simulador;9,00;DÉBITO;04/06/2026 16:45
2058;Caixa Simulador;109,50;CRÉDITO;04/06/2026 16:43
8008;Caixa Simulador;6,00;DÉBITO;04/06/2026 16:38
22011;Caixa Simulador;37,00;DINHEIRO;04/06/2026 16:27
27436;Caixa Simulador;104,00;DINHEIRO;04/06/2026 16:21
39692;Caixa Simulador;88,00;DINHEIRO;04/06/2026 16:17
4261;Caixa Simulador;48,50;DINHEIRO;04/06/2026 16:06
1352;Caixa Simulador;105,00;DÉBITO;04/06/2026 16:03
27419;Caixa Simulador;75,00;CRÉDITO;04/06/2026 15:25
27222;Caixa Simulador;67,00;CRÉDITO;04/06/2026 15:19
10825;Caixa Simulador;41,50;DINHEIRO;04/06/2026 13:44
30738;Caixa Simulador;37,50;CRÉDITO;04/06/2026 11:18
1223;Caixa Simulador;75,00;DINHEIRO;04/06/2026 08:56
18023;Caixa Simulador;65,00;PIX;04/06/2026 08:52
1172;Caixa Simulador;25,00;DÉBITO;04/06/2026 08:46
15040;Caixa Simulador;44,00;CRÉDITO;04/06/2026 08:25
23847;Caixa Simulador;61,00;DINHEIRO;04/06/2026 08:22
16339;Caixa Simulador;48,00;CRÉDITO;04/06/2026 08:15
28501;Caixa Simulador;47,00;DINHEIRO;04/06/2026 08:12
14009;Caixa Simulador;40,00;DINHEIRO;04/06/2026 08:02
9046;Caixa Simulador;84,00;PIX;04/06/2026 07:58
14227;Caixa Simulador;10,00;CRÉDITO;04/06/2026 07:56
36446;Caixa Simulador;40,50;PIX;04/06/2026 07:42
34505;Caixa Simulador;18,00;PIX;04/06/2026 07:39
3814;Caixa Simulador;54,00;PIX;04/06/2026 07:24
11569;Caixa Simulador;20,00;DINHEIRO;04/06/2026 06:47
23956;Caixa Simulador;9,50;DÉBITO;04/06/2026 06:13
3955;Caixa Simulador;68,00;DINHEIRO;04/06/2026 06:06
32781;Caixa Simulador;1,00;DINHEIRO;04/06/2026 05:35
32224;Caixa Simulador;5,50;CRÉDITO;04/06/2026 05:11
3465;Caixa Simulador;51,50;PIX;04/06/2026 01:51
26941;Caixa Simulador;44,00;DINHEIRO;04/06/2026 01:03
6370;Caixa Simulador;54,00;CRÉDITO;04/06/2026 00:42
30468;Caixa Simulador;38,00;DINHEIRO;04/06/2026 00:16
37794;Caixa Simulador;5,00;CRÉDITO;03/06/2026 22:27
15582;Caixa Simulador;1,50;PIX;03/06/2026 20:40
4352;Caixa Simulador;18,00;DÉBITO;03/06/2026 19:56
25905;Caixa Simulador;13,50;PIX;03/06/2026 19:44
22815;Caixa Simulador;51,50;CRÉDITO;03/06/2026 18:56
11479;Caixa Simulador;35,00;DINHEIRO;03/06/2026 18:52
32501;Caixa Simulador;7,50;DÉBITO;03/06/2026 18:34
17295;Caixa Simulador;28,50;CRÉDITO;03/06/2026 18:27
9760;Caixa Simulador;2,00;CRÉDITO;03/06/2026 18:23
21561;Caixa Simulador;55,00;DINHEIRO;03/06/2026 18:23
35572;Caixa Simulador;42,00;DINHEIRO;03/06/2026 18:01
11737;Caixa Simulador;23,00;DINHEIRO;03/06/2026 17:42
23280;Caixa Simulador;27,00;DINHEIRO;03/06/2026 17:32
12351;Caixa Simulador;126,00;PIX;03/06/2026 16:54
35222;Caixa Simulador;12,00;CRÉDITO;03/06/2026 16:17
14813;Caixa Simulador;16,00;CRÉDITO;03/06/2026 16:07
23;Caixa Simulador;77,00;PIX;03/06/2026 15:16
36597;Caixa Simulador;16,00;CRÉDITO;03/06/2026 14:31
26384;Caixa Simulador;55,00;DINHEIRO;03/06/2026 12:48
10095;Caixa Simulador;20,50;DÉBITO;03/06/2026 12:11
5838;Caixa Simulador;10,00;PIX;03/06/2026 11:33
34082;Caixa Simulador;96,00;DINHEIRO;03/06/2026 09:43
7988;Caixa Simulador;28,00;CRÉDITO;03/06/2026 09:21
7479;Caixa Simulador;20,00;DINHEIRO;03/06/2026 09:18
10764;Caixa Simulador;59,00;DÉBITO;03/06/2026 08:56
94;Caixa Simulador;46,00;DÉBITO;03/06/2026 08:53
22873;Caixa Simulador;76,00;DINHEIRO;03/06/2026 08:52
36452;Caixa Simulador;38,00;PIX;03/06/2026 08:46
29131;Caixa Simulador;30,00;CRÉDITO;03/06/2026 08:40
23014;Caixa Simulador;38,00;PIX;03/06/2026 08:04
6195;Caixa Simulador;6,00;DÉBITO;03/06/2026 07:51
26787;Caixa Simulador;113,00;CRÉDITO;03/06/2026 07:29
18538;Caixa Simulador;76,00;PIX;03/06/2026 07:20
6272;Caixa Simulador;41,00;DÉBITO;03/06/2026 07:05
23992;Caixa Simulador;59,00;DINHEIRO;03/06/2026 07:01
27532;Caixa Simulador;23,50;PIX;03/06/2026 06:57
3868;Caixa Simulador;115,00;CRÉDITO;03/06/2026 06:51
10950;Caixa Simulador;112,00;DINHEIRO;03/06/2026 06:49
18913;Caixa Simulador;122,00;CRÉDITO;03/06/2026 06:45
39343;Caixa Simulador;90,00;CRÉDITO;03/06/2026 06:31
8453;Caixa Simulador;10,00;DÉBITO;03/06/2026 06:26
16962;Caixa Simulador;49,00;DINHEIRO;03/06/2026 06:19
5250;Caixa Simulador;77,50;DINHEIRO;03/06/2026 06:19
37636;Caixa Simulador;58,00;DINHEIRO;03/06/2026 06:15
30518;Caixa Simulador;6,00;DINHEIRO;03/06/2026 06:05
35837;Caixa Simulador;124,00;PIX;03/06/2026 05:09
27839;Caixa Simulador;131,50;DINHEIRO;03/06/2026 04:57
5212;Caixa Simulador;60,50;DÉBITO;03/06/2026 04:10
29729;Caixa Simulador;15,00;CRÉDITO;03/06/2026 03:10
2572;Caixa Simulador;7,00;PIX;03/06/2026 01:22
12170;Caixa Simulador;15,00;CRÉDITO;03/06/2026 00:50
27089;Caixa Simulador;38,00;DINHEIRO;03/06/2026 00:33
10282;Caixa Simulador;31,00;DÉBITO;02/06/2026 21:44
22033;Caixa Simulador;38,50;PIX;02/06/2026 21:42
38043;Caixa Simulador;59,00;DÉBITO;02/06/2026 21:42
31035;Caixa Simulador;3,00;PIX;02/06/2026 20:45
28917;Caixa Simulador;20,00;DINHEIRO;02/06/2026 20:23
22721;Caixa Simulador;23,50;DINHEIRO;02/06/2026 20:10
6365;Caixa Simulador;9,00;CRÉDITO;02/06/2026 19:49
36804;Caixa Simulador;104,00;DÉBITO;02/06/2026 18:56
20755;Caixa Simulador;23,50;PIX;02/06/2026 18:32
18783;Caixa Simulador;71,00;DINHEIRO;02/06/2026 18:24
3176;Caixa Simulador;48,00;PIX;02/06/2026 18:12
113;Caixa Simulador;105,00;PIX;02/06/2026 17:59
18575;Caixa Simulador;1,00;DINHEIRO;02/06/2026 17:59
16121;Caixa Simulador;56,00;CRÉDITO;02/06/2026 17:44
210;Caixa Simulador;32,00;DÉBITO;02/06/2026 17:24
30595;Caixa Simulador;18,00;CRÉDITO;02/06/2026 17:17
1249;Caixa Simulador;20,50;DÉBITO;02/06/2026 17:01
20047;Caixa Simulador;47,00;CRÉDITO;02/06/2026 16:59
22504;Caixa Simulador;5,00;DÉBITO;02/06/2026 16:51
29319;Caixa Simulador;64,00;DÉBITO;02/06/2026 16:50
31497;Caixa Simulador;25,00;PIX;02/06/2026 16:45
31073;Caixa Simulador;89,00;DINHEIRO;02/06/2026 16:43
31652;Caixa Simulador;116,00;CRÉDITO;02/06/2026 16:33
26095;Caixa Simulador;44,50;PIX;02/06/2026 16:31
20074;Caixa Simulador;39,00;PIX;02/06/2026 16:29
308;Caixa Simulador;65,00;DÉBITO;02/06/2026 16:20
35956;Caixa Simulador;12,00;PIX;02/06/2026 16:13
15831;Caixa Simulador;25,00;DINHEIRO;02/06/2026 16:12
26192;Caixa Simulador;77,00;PIX;02/06/2026 16:05
34058;Caixa Simulador;14,50;CRÉDITO;02/06/2026 13:46
34262;Caixa Simulador;43,00;DINHEIRO;02/06/2026 13:26
29972;Caixa Simulador;22,00;PIX;02/06/2026 13:10
4212;Caixa Simulador;104,00;DÉBITO;02/06/2026 13:09
26252;Caixa Simulador;1,50;DINHEIRO;02/06/2026 11:44
39140;Caixa Simulador;30,00;DÉBITO;02/06/2026 10:41
31733;Caixa Simulador;9,00;PIX;02/06/2026 08:45
32202;Caixa Simulador;100,00;PIX;02/06/2026 08:30
2468;Caixa Simulador;39,50;DINHEIRO;02/06/2026 08:20
1043;Caixa Simulador;30,00;DINHEIRO;02/06/2026 08:15
18064;Caixa Simulador;103,00;DÉBITO;02/06/2026 07:23
39542;Caixa Simulador;7,00;DINHEIRO;02/06/2026 07:10
21964;Caixa Simulador;18,00;DINHEIRO;02/06/2026 07:05
19137;Caixa Simulador;34,00;DÉBITO;02/06/2026 06:54
29810;Caixa Simulador;28,00;PIX;02/06/2026 06:54
26298;Caixa Simulador;49,00;CRÉDITO;02/06/2026 06:20
26889;Caixa Simulador;7,00;DÉBITO;02/06/2026 06:10
10533;Caixa Simulador;25,00;DÉBITO;02/06/2026 06:09
9319;Caixa Simulador;35,00;DINHEIRO;02/06/2026 06:00
14808;Caixa Simulador;9,00;DINHEIRO;02/06/2026 04:07
19439;Caixa Simulador;6,00;PIX;02/06/2026 04:01
23823;Caixa Simulador;9,00;DÉBITO;02/06/2026 02:04
13487;Caixa Simulador;30,00;DÉBITO;02/06/2026 01:48
13486;Caixa Simulador;64,00;PIX;02/06/2026 00:12
9088;Caixa Simulador;4,00;CRÉDITO;01/06/2026 23:39
32135;Caixa Simulador;28,50;DÉBITO;01/06/2026 22:55
5914;Caixa Simulador;16,00;CRÉDITO;01/06/2026 22:22
36308;Caixa Simulador;17,00;DÉBITO;01/06/2026 21:33
14815;Caixa Simulador;20,00;DÉBITO;01/06/2026 21:32
33651;Caixa Simulador;94,00;DINHEIRO;01/06/2026 20:38
19720;Caixa Simulador;82,00;CRÉDITO;01/06/2026 19:48
25122;Caixa Simulador;118,00;DÉBITO;01/06/2026 18:54
37265;Caixa Simulador;82,00;DINHEIRO;01/06/2026 18:32
22926;Caixa Simulador;22,00;PIX;01/06/2026 17:57
7030;Caixa Simulador;111,00;PIX;01/06/2026 17:55
29335;Caixa Simulador;20,00;DINHEIRO;01/06/2026 17:50
18276;Caixa Simulador;13,50;CRÉDITO;01/06/2026 17:47
17162;Caixa Simulador;50,00;DÉBITO;01/06/2026 17:43
35293;Caixa Simulador;27,00;DÉBITO;01/06/2026 17:40
26968;Caixa Simulador;30,00;CRÉDITO;01/06/2026 17:21
37913;Caixa Simulador;26,00;CRÉDITO;01/06/2026 17:13
20604;Caixa Simulador;32,00;DINHEIRO;01/06/2026 17:06
12416;Caixa Simulador;45,00;CRÉDITO;01/06/2026 17:05
33003;Caixa Simulador;15,50;CRÉDITO;01/06/2026 16:43
37188;Caixa Simulador;43,00;PIX;01/06/2026 16:42
5291;Caixa Simulador;79,00;DINHEIRO;01/06/2026 16:42
13914;Caixa Simulador;69,00;PIX;01/06/2026 16:40
8420;Caixa Simulador;92,00;PIX;01/06/2026 16:39
2005;Caixa Simulador;20,00;DINHEIRO;01/06/2026 16:28
32563;Caixa Simulador;65,00;PIX;01/06/2026 16:25
24759;Caixa Simulador;106,00;DINHEIRO;01/06/2026 15:38
18949;Caixa Simulador;37,00;PIX;01/06/2026 15:30
7506;Caixa Simulador;130,00;CRÉDITO;01/06/2026 12:23
390;Caixa Simulador;69,00;CRÉDITO;01/06/2026 10:40
32874;Caixa Simulador;35,00;CRÉDITO;01/06/2026 10:21
21507;Caixa Simulador;25,50;CRÉDITO;01/06/2026 08:40
18829;Caixa Simulador;133,00;CRÉDITO;01/06/2026 08:39
18204;Caixa Simulador;45,00;CRÉDITO;01/06/2026 08:38
5371;Caixa Simulador;25,50;PIX;01/06/2026 08:37
6310;Caixa Simulador;19,00;CRÉDITO;01/06/2026 08:34
19233;Caixa Simulador;9,50;PIX;01/06/2026 08:34
34291;Caixa Simulador;35,00;CRÉDITO;01/06/2026 08:32
38486;Caixa Simulador;32,00;PIX;01/06/2026 08:26
977;Caixa Simulador;53,00;PIX;01/06/2026 07:46
3784;Caixa Simulador;79,50;DÉBITO;01/06/2026 07:36
6812;Caixa Simulador;26,00;DÉBITO;01/06/2026 07:17
39350;Caixa Simulador;30,00;PIX;01/06/2026 07:12
27212;Caixa Simulador;93,00;DINHEIRO;01/06/2026 07:10
36965;Caixa Simulador;102,00;DINHEIRO;01/06/2026 07:01
5652;Caixa Simulador;94,00;PIX;01/06/2026 06:55
12228;Caixa Simulador;110,00;DÉBITO;01/06/2026 06:51
24156;Caixa Simulador;26,00;DÉBITO;01/06/2026 06:48
25508;Caixa Simulador;4,00;PIX;01/06/2026 06:47
13781;Caixa Simulador;115,00;CRÉDITO;01/06/2026 06:46
21963;Caixa Simulador;18,00;CRÉDITO;01/06/2026 06:41
22755;Caixa Simulador;40,50;DINHEIRO;01/06/2026 06:17
22849;Caixa Simulador;18,00;DINHEIRO;01/06/2026 06:08
11131;Caixa Simulador;104,50;DINHEIRO;01/06/2026 06:06
32139;Caixa Simulador;46,50;PIX;01/06/2026 06:05
7525;Caixa Simulador;17,00;CRÉDITO;01/06/2026 06:04
14385;Caixa Simulador;1,00;CRÉDITO;01/06/2026 06:02
21187;Caixa Simulador;74,00;CRÉDITO;01/06/2026 05:16
33568;Caixa Simulador;11,00;CRÉDITO;01/06/2026 04:32
31289;Caixa Simulador;40,50;DÉBITO;01/06/2026 03:15
18594;Caixa Simulador;10,00;DÉBITO;01/06/2026 02:49
15615;Caixa Simulador;1,00;DINHEIRO;01/06/2026 02:29
11523;Caixa Simulador;48,00;DÉBITO;01/06/2026 01:37
6196;Caixa Simulador;34,50;PIX;01/06/2026 01:07
29015;Caixa Simulador;9,00;PIX;31/05/2026 23:05
11725;Caixa Simulador;9,00;PIX;31/05/2026 22:51
24732;Caixa Simulador;57,00;PIX;31/05/2026 22:49
7214;Caixa Simulador;20,00;PIX;31/05/2026 22:40
17775;Caixa Simulador;117,00;DÉBITO;31/05/2026 22:22
19263;Caixa Simulador;55,00;DÉBITO;31/05/2026 22:07
3075;Caixa Simulador;14,00;PIX;31/05/2026 20:39
27692;Caixa Simulador;90,00;DÉBITO;31/05/2026 19:42
23044;Caixa Simulador;21,00;CRÉDITO;31/05/2026 19:30
29917;Caixa Simulador;1,50;DÉBITO;31/05/2026 18:52
13413;Caixa Simulador;9,00;CRÉDITO;31/05/2026 18:52
8005;Caixa Simulador;73,00;DÉBITO;31/05/2026 18:38
20200;Caixa Simulador;60,00;DINHEIRO;31/05/2026 18:35
27851;Caixa Simulador;32,00;DÉBITO;31/05/2026 18:29
34080;Caixa Simulador;15,00;CRÉDITO;31/05/2026 18:28
2587;Caixa Simulador;15,00;DÉBITO;31/05/2026 18:24
219;Caixa Simulador;1,50;PIX;31/05/2026 18:02
513;Caixa Simulador;42,00;DÉBITO;31/05/2026 17:51
23907;Caixa Simulador;20,00;DINHEIRO;31/05/2026 17:48
21517;Caixa Simulador;74,00;PIX;31/05/2026 17:42
37566;Caixa Simulador;30,00;DINHEIRO;31/05/2026 17:23
9834;Caixa Simulador;11,50;DÉBITO;31/05/2026 17:09
36973;Caixa Simulador;9,00;DÉBITO;31/05/2026 17:08
32347;Caixa Simulador;60,50;DÉBITO;31/05/2026 17:07
32225;Caixa Simulador;142,00;CRÉDITO;31/05/2026 17:04
24795;Caixa Simulador;36,00;DINHEIRO;31/05/2026 16:56
22159;Caixa Simulador;17,50;DINHEIRO;31/05/2026 16:55
16745;Caixa Simulador;52,00;PIX;31/05/2026 16:41
1772;Caixa Simulador;23,00;PIX;31/05/2026 16:34
25305;Caixa Simulador;92,00;DÉBITO;31/05/2026 16:32
7629;Caixa Simulador;48,00;CRÉDITO;31/05/2026 16:28
22350;Caixa Simulador;21,00;DÉBITO;31/05/2026 15:32
9781;Caixa Simulador;28,00;DÉBITO;31/05/2026 14:39
33560;Caixa Simulador;27,50;DÉBITO;31/05/2026 13:19
34261;Caixa Simulador;50,00;DINHEIRO;31/05/2026 08:46
27671;Caixa Simulador;153,00;DINHEIRO;31/05/2026 08:40
21351;Caixa Simulador;26,00;DINHEIRO;31/05/2026 07:50
10962;Caixa Simulador;82,00;DÉBITO;31/05/2026 07:40
20593;Caixa Simulador;28,00;DÉBITO;31/05/2026 07:33
22614;Caixa Simulador;8,00;PIX;31/05/2026 07:33
4762;Caixa Simulador;47,00;CRÉDITO;31/05/2026 07:31
37518;Caixa Simulador;25,00;PIX;31/05/2026 07:29
27112;Caixa Simulador;31,00;PIX;31/05/2026 07:25
38657;Caixa Simulador;44,00;DÉBITO;31/05/2026 07:23
15847;Caixa Simulador;17,00;CRÉDITO;31/05/2026 07:17
24406;Caixa Simulador;45,50;DINHEIRO;31/05/2026 07:05
22911;Caixa Simulador;36,00;DINHEIRO;31/05/2026 06:59
19582;Caixa Simulador;1,50;CRÉDITO;31/05/2026 06:56
1919;Caixa Simulador;44,50;DINHEIRO;31/05/2026 06:55
29568;Caixa Simulador;13,00;DINHEIRO;31/05/2026 06:49
31089;Caixa Simulador;21,50;DÉBITO;31/05/2026 06:40
12889;Caixa Simulador;72,50;DINHEIRO;31/05/2026 06:34
10247;Caixa Simulador;31,00;CRÉDITO;31/05/2026 06:34
6477;Caixa Simulador;56,00;DINHEIRO;31/05/2026 06:30
14356;Caixa Simulador;33,00;DÉBITO;31/05/2026 06:06
20349;Caixa Simulador;24,00;PIX;31/05/2026 06:04
5019;Caixa Simulador;45,50;DINHEIRO;31/05/2026 05:41
9099;Caixa Simulador;75,00;PIX;31/05/2026 04:46
32500;Caixa Simulador;46,00;DÉBITO;31/05/2026 03:21
19119;Caixa Simulador;6,00;PIX;31/05/2026 03:08
36431;Caixa Simulador;84,00;PIX;31/05/2026 01:39
3249;Caixa Simulador;16,50;PIX;31/05/2026 01:11
4873;Caixa Simulador;35,00;PIX;31/05/2026 00:53
34531;Caixa Simulador;2,50;DINHEIRO;31/05/2026 00:14
27811;Caixa Simulador;5,00;DÉBITO;31/05/2026 00:12
10483;Caixa Simulador;2,00;CRÉDITO;30/05/2026 23:42
31586;Caixa Simulador;18,00;DINHEIRO;30/05/2026 21:55
36159;Caixa Simulador;7,50;DÉBITO;30/05/2026 21:38
16423;Caixa Simulador;96,50;CRÉDITO;30/05/2026 19:33
26504;Caixa Simulador;70,00;DINHEIRO;30/05/2026 19:26
6818;Caixa Simulador;88,00;CRÉDITO;30/05/2026 18:34
35198;Caixa Simulador;37,00;DINHEIRO;30/05/2026 18:30
9626;Caixa Simulador;48,00;CRÉDITO;30/05/2026 18:27
4122;Caixa Simulador;18,00;DÉBITO;30/05/2026 18:24
13234;Caixa Simulador;44,00;CRÉDITO;30/05/2026 18:15
24983;Caixa Simulador;125,00;PIX;30/05/2026 17:54
15679;Caixa Simulador;90,00;CRÉDITO;30/05/2026 17:47
33650;Caixa Simulador;45,00;DÉBITO;30/05/2026 17:41
15734;Caixa Simulador;61,00;PIX;30/05/2026 17:41
16687;Caixa Simulador;22,00;DÉBITO;30/05/2026 17:33
14182;Caixa Simulador;24,00;CRÉDITO;30/05/2026 17:20
31396;Caixa Simulador;50,00;DÉBITO;30/05/2026 17:07
34860;Caixa Simulador;6,00;CRÉDITO;30/05/2026 17:06
420;Caixa Simulador;45,00;PIX;30/05/2026 17:00
34332;Caixa Simulador;17,00;PIX;30/05/2026 16:59
38329;Caixa Simulador;30,00;DINHEIRO;30/05/2026 16:33
11015;Caixa Simulador;18,00;CRÉDITO;30/05/2026 16:19
23473;Caixa Simulador;27,00;PIX;30/05/2026 16:10
33825;Caixa Simulador;20,00;CRÉDITO;30/05/2026 16:10
2028;Caixa Simulador;14,00;CRÉDITO;30/05/2026 16:05
11547;Caixa Simulador;75,00;DÉBITO;30/05/2026 15:55
24403;Caixa Simulador;156,00;DINHEIRO;30/05/2026 11:53
29693;Caixa Simulador;12,00;CRÉDITO;30/05/2026 11:50
2498;Caixa Simulador;65,00;DÉBITO;30/05/2026 11:26
16431;Caixa Simulador;55,50;CRÉDITO;30/05/2026 08:55
12430;Caixa Simulador;15,00;DINHEIRO;30/05/2026 08:46
27546;Caixa Simulador;39,50;CRÉDITO;30/05/2026 08:43
17113;Caixa Simulador;24,00;CRÉDITO;30/05/2026 08:31
31657;Caixa Simulador;44,00;CRÉDITO;30/05/2026 08:27
21026;Caixa Simulador;62,50;DÉBITO;30/05/2026 08:27
22837;Caixa Simulador;90,00;DINHEIRO;30/05/2026 08:26
27789;Caixa Simulador;29,50;PIX;30/05/2026 07:58
19015;Caixa Simulador;59,50;DINHEIRO;30/05/2026 07:45
19754;Caixa Simulador;126,00;DINHEIRO;30/05/2026 07:19
9468;Caixa Simulador;20,00;DINHEIRO;30/05/2026 06:56
17156;Caixa Simulador;122,00;CRÉDITO;30/05/2026 06:52
5543;Caixa Simulador;90,00;DINHEIRO;30/05/2026 06:40
32386;Caixa Simulador;70,00;PIX;30/05/2026 06:31
36850;Caixa Simulador;15,00;PIX;30/05/2026 06:18
37677;Caixa Simulador;12,00;PIX;30/05/2026 06:07
14506;Caixa Simulador;1,50;DINHEIRO;30/05/2026 06:07
19577;Caixa Simulador;46,00;DÉBITO;30/05/2026 05:50
15152;Caixa Simulador;50,50;DÉBITO;30/05/2026 04:18
17780;Caixa Simulador;7,00;CRÉDITO;30/05/2026 02:43
6749;Caixa Simulador;45,00;PIX;30/05/2026 00:50
26793;Caixa Simulador;24,00;PIX;29/05/2026 22:46
37414;Caixa Simulador;10,00;PIX;29/05/2026 22:39
25373;Caixa Simulador;25,00;DINHEIRO;29/05/2026 21:59
29605;Caixa Simulador;37,50;DINHEIRO;29/05/2026 21:36
36930;Caixa Simulador;62,00;CRÉDITO;29/05/2026 21:33
23714;Caixa Simulador;30,50;CRÉDITO;29/05/2026 21:28
21596;Caixa Simulador;15,00;DINHEIRO;29/05/2026 18:52
29224;Caixa Simulador;2,00;CRÉDITO;29/05/2026 18:45
20033;Caixa Simulador;53,00;DINHEIRO;29/05/2026 18:14
159;Caixa Simulador;68,00;DÉBITO;29/05/2026 17:42
2328;Caixa Simulador;74,50;PIX;29/05/2026 17:36
37386;Caixa Simulador;37,50;DINHEIRO;29/05/2026 17:19
6107;Caixa Simulador;17,50;DÉBITO;29/05/2026 16:43
39434;Caixa Simulador;55,00;DÉBITO;29/05/2026 16:30
39175;Caixa Simulador;80,00;DINHEIRO;29/05/2026 16:25
9535;Caixa Simulador;7,00;PIX;29/05/2026 15:15
17391;Caixa Simulador;21,00;PIX;29/05/2026 12:07
2652;Caixa Simulador;40,00;PIX;29/05/2026 09:59
1654;Caixa Simulador;95,00;DINHEIRO;29/05/2026 08:44
39479;Caixa Simulador;124,00;DINHEIRO;29/05/2026 08:29
14678;Caixa Simulador;122,00;PIX;29/05/2026 08:27
12079;Caixa Simulador;12,00;DINHEIRO;29/05/2026 08:19
